Datum;Schalter
2019-09-01;14.630985
2019-09-02;35.662075
2019-09-03;26.060135
2019-09-04;24.554934
2019-09-05;37.00695
2019-09-06;30.473454
2019-09-07;34.58626
2019-09-08;13.575597
2019-09-09;32.071957
2019-09-10;27.464178
2019-09-11;23.25669
2019-09-12;26.794369
2019-09-13;28.249336
2019-09-14;36.392048
2019-09-15;10.73667
2019-09-16;33.119404
2019-09-17;26.73633
2019-09-18;23.732328
2019-09-19;26.653439
2019-09-20;28.282188
2019-09-21;36.06356
2019-09-22;12.05724
2019-09-23;13.584705
2019-09-24;25.103935
2019-09-25;23.97804
2019-09-26;27.688011
2019-09-27;30.64458
2019-09-28;35.48254
2019-09-29;22.674435
2019-09-30;43.05111
